RecipeID,RecipeTitle,VideoTitle,YouTubeLink,ThumbnailUrl
252076,Mississippi Mud Cake,Easy Mississippi Mud Cake Recipe,https://youtube.com/watch?v=-dtU8Q-JNFk,https://i.ytimg.com/vi/-dtU8Q-JNFk/hqdefault.jpg
1432293,Greek Sweet Bread,Easy Tsoureki Greek Easter Bread Recipe for Beginners - No Mixer Needed!,https://youtube.com/watch?v=EKp18Ol76e0,https://i.ytimg.com/vi/EKp18Ol76e0/hqdefault.jpg
1276424,Hoisin-Glazed Cornish Hen ,Making the Best Asian Inspired Hoisin Glazed Cornish Hens with Scallions and Sesame Seeds Recipe,https://youtube.com/watch?v=DKEqMSBrtgk,https://i.ytimg.com/vi/DKEqMSBrtgk/hqdefault.jpg
2007310,Easy Rhubarb Jam Recipe,Amish Rhubarb Jam Recipe ~ Open Kettle Method,https://youtube.com/watch?v=Qgmd3UXdgEg,https://i.ytimg.com/vi/Qgmd3UXdgEg/hqdefault.jpg
920619,Easy Chicken And Biscuits,CHICKEN AND BISCUITS | Creamy Chicken and Biscuits Bake | One Pot Meal,https://youtube.com/watch?v=KvFfBW9jxKQ,https://i.ytimg.com/vi/KvFfBW9jxKQ/hqdefault.jpg
1483366,Lamb Kefta With Dates And Sage Recipe,Making kofteh in the traditional way (sage)Kofteh with lamb on the fire and big sage #food #foodie,https://youtube.com/watch?v=kmxjmEG9ELw,https://i.ytimg.com/vi/kmxjmEG9ELw/hqdefault.jpg
1233208,Cranberry-Walnut Baked Apples,Slow-Cooker Cranberry-Walnut Stuffed Apples | The Kitchen | Food Network,https://youtube.com/watch?v=vEcnizoVJCw,https://i.ytimg.com/vi/vEcnizoVJCw/hqdefault.jpg
2041509,Lemon Grilled Chicken,How To Make Lemon Pepper Grilled Chicken: Healthy And Delicious Chicken #chicken #food #healthyfood,https://youtube.com/watch?v=hgJRr7b0uyM,https://i.ytimg.com/vi/hgJRr7b0uyM/hqdefault.jpg
106810,Sweet Potato Souffle,Sweet Potato Soufflé #onestopchop,https://youtube.com/watch?v=fsZ42GrT_0U,https://i.ytimg.com/vi/fsZ42GrT_0U/hqdefault.jpg
832974,14 Layer Chocolate Cake,Southern Little Layer Cake (10 Layers),https://youtube.com/watch?v=FHayTVNYBfc,https://i.ytimg.com/vi/FHayTVNYBfc/hqdefault.jpg
18591,Super Potato Casserole,Easy Loaded Potato Casserole,https://youtube.com/watch?v=Bc-Vj-90wd0,https://i.ytimg.com/vi/Bc-Vj-90wd0/hqdefault.jpg
681849,Mexican Succotash,Southwest Succotash,https://youtube.com/watch?v=Ft9RVIQkgWY,https://i.ytimg.com/vi/Ft9RVIQkgWY/hqdefault.jpg
1999354,Lemon Dessert,6 Amazing Lemon Dessert Recipes,https://youtube.com/watch?v=URcho0QackA,https://i.ytimg.com/vi/URcho0QackA/hqdefault.jpg
989795,Flaky Deli Slices,Vegan Deli Slices 🥪,https://youtube.com/watch?v=T4hel2cPFjQ,https://i.ytimg.com/vi/T4hel2cPFjQ/hqdefault.jpg
2158498,Chunky Guacamole,Chunky Guacamole,https://youtube.com/watch?v=qZ2DTGFjN-Y,https://i.ytimg.com/vi/qZ2DTGFjN-Y/hqdefault.jpg
1233209,Decorated Spice Cookies,How to make Christmas Spiced Cookies with KatiePix! #christmas #christmascookies,https://youtube.com/watch?v=7MhRSi0Aa-k,https://i.ytimg.com/vi/7MhRSi0Aa-k/hqdefault.jpg
132145,Coconut Cake Supreme(Makes 3 Layers)  ,Grandmother’s Moist Coconut Cake - Refrigerator Kept with a Secret Ingredient,https://youtube.com/watch?v=bBzPgPztPPw,https://i.ytimg.com/vi/bBzPgPztPPw/hqdefault.jpg
1553611,Sweet Starfish Shortbread Cookies,4 Ways to Decorate Starfish Cookies,https://youtube.com/watch?v=rR5lMDOZYnA,https://i.ytimg.com/vi/rR5lMDOZYnA/hqdefault.jpg
197660,Cream Puff Ring,Berries &amp; Cream Puff Ring,https://youtube.com/watch?v=WMy29Y3weIM,https://i.ytimg.com/vi/WMy29Y3weIM/hqdefault.jpg
201438,Carolina Fig Special,Trudy Austin&#39;s Ocracoke Fig Cake | The Key Ingredient with Sheri Castle,https://youtube.com/watch?v=t0Na5QbD6XY,https://i.ytimg.com/vi/t0Na5QbD6XY/hqdefault.jpg
1917291,Sophie's cold honey sesame meatball noodles,Trying this trend at 37 weeks pregnant #shorts,https://youtube.com/watch?v=1QoLPg_Hnxw,https://i.ytimg.com/vi/1QoLPg_Hnxw/hqdefault.jpg
1159833,Nacho Cheese,Movie Theater Style Nacho Cheese Sauce (Secret Ingredient!),https://youtube.com/watch?v=nGN1B-T1GMw,https://i.ytimg.com/vi/nGN1B-T1GMw/hqdefault.jpg
1916244,Easy cheese and beef dip,Crockpot Queso Dip for Super Bowl | MyHealthyDish,https://youtube.com/watch?v=2Pj1pnpM6as,https://i.ytimg.com/vi/2Pj1pnpM6as/hqdefault.jpg
911534,Pancit Luglug,Easy Pancit Luglug,https://youtube.com/watch?v=esLqq8G5gcg,https://i.ytimg.com/vi/esLqq8G5gcg/hqdefault.jpg
1260638,Eccles Cakes,Eccles Cakes how to Recipe Demonstration in the Bakery,https://youtube.com/watch?v=2riVy-xIMK0,https://i.ytimg.com/vi/2riVy-xIMK0/hqdefault.jpg
188573,Enchiladas,Easy Creamy Chicken Enchiladas | Simple Dinner Recipe | Safeway,https://youtube.com/watch?v=_QVmEha5_jM,https://i.ytimg.com/vi/_QVmEha5_jM/hqdefault.jpg
1220154,Crawfish Cakes With Lemon Butter Sauce,How to make an easy white wine lemon butter sauce in two minutes.,https://youtube.com/watch?v=ZG-QJaXgc0o,https://i.ytimg.com/vi/ZG-QJaXgc0o/hqdefault.jpg
498522,Pecan Pie,My Mom’s Pecan Pie recipe,https://youtube.com/watch?v=4wz80vtgBQY,https://i.ytimg.com/vi/4wz80vtgBQY/hqdefault.jpg
1556996,Baigan Choka,How to make Trini Baigan Choka ( VEGAN ) - Episode 2049,https://youtube.com/watch?v=wCFqZBHWfMs,https://i.ytimg.com/vi/wCFqZBHWfMs/hqdefault.jpg
249781,Hot Punch,PONCHE NAVIDEÑO a TRADITIONAL MEXICAN HOT FRUIT PUNCH,https://youtube.com/watch?v=vaaqv7pgZDs,https://i.ytimg.com/vi/vaaqv7pgZDs/hqdefault.jpg
1438510,Escarole Soup With Chicken And Rice,How to Cook Chicken Escarole Soup | Reds Kitchen EP 1,https://youtube.com/watch?v=jOEj-I3pn9w,https://i.ytimg.com/vi/jOEj-I3pn9w/hqdefault.jpg
2100400,Cold Minted Pea and Buttermilk Soup,Fresh Pea Soup Recipe | The F Word,https://youtube.com/watch?v=-TEtCVQrZl4,https://i.ytimg.com/vi/-TEtCVQrZl4/hqdefault.jpg
379238,Corn Bread Cake,SUPER MOIST JIFFY CORNBREAD #recipe,https://youtube.com/watch?v=zp1zhiteiH4,https://i.ytimg.com/vi/zp1zhiteiH4/hqdefault.jpg
103537,Freckles,Homemade | Let&#39;s Cook Chocolate Freckles (Chocolate Freckle Biscuits),https://youtube.com/watch?v=Ugt6h0qx1ok,https://i.ytimg.com/vi/Ugt6h0qx1ok/hqdefault.jpg
1955315,Tortilla Espanola (Potato Omelette),Easy Spanish Omelette For One (Or Two) | Tortilla de Patatas,https://youtube.com/watch?v=epIdjMaHa_w,https://i.ytimg.com/vi/epIdjMaHa_w/hqdefault.jpg
1794289,Lemon-Blueberry Cake,Easy Lemon Blueberry Cake Recipe,https://youtube.com/watch?v=HNjVhieip7Q,https://i.ytimg.com/vi/HNjVhieip7Q/hqdefault.jpg
1030195,Pumpkin Bread,The BEST Pumpkin Bread Recipe,https://youtube.com/watch?v=arUQ3ZEhhYE,https://i.ytimg.com/vi/arUQ3ZEhhYE/hqdefault.jpg
518915,Grilled Hamburgers,5 Tips to BEST BURGERS! | Make the best Homemade Grilled Burgers using these tips!,https://youtube.com/watch?v=3RnmZXWp7Ec,https://i.ytimg.com/vi/3RnmZXWp7Ec/hqdefault.jpg
2087695,Smoked Chili Recipe,Smoked Chili Recipe | Easy Over The Top Smoked Chili On A Pellet Grill,https://youtube.com/watch?v=dWtr3QYkNuw,https://i.ytimg.com/vi/dWtr3QYkNuw/hqdefault.jpg
448417,Hawaiian Pineapple Banana Nut Bread,The BEST and EASIEST Hawaiian Banana Bread Recipe - Steph’s Stove,https://youtube.com/watch?v=szHOlsv_nwg,https://i.ytimg.com/vi/szHOlsv_nwg/hqdefault.jpg
1562848,Buche De Noel (Yule Log Cake),How to make a Yule Log | Bûche De Noël,https://youtube.com/watch?v=zVBGZ27DXpQ,https://i.ytimg.com/vi/zVBGZ27DXpQ/hqdefault.jpg
1184978,Baked Macaroni And Cheese,Southern Baked Macaroni &amp; Cheese Recipe (Updated),https://youtube.com/watch?v=e8S1vFC8zYk,https://i.ytimg.com/vi/e8S1vFC8zYk/hqdefault.jpg
1505095,Mashed Potato For One,The Best Way to Make Mashed Potatoes,https://youtube.com/watch?v=YFFXD6kIkZ8,https://i.ytimg.com/vi/YFFXD6kIkZ8/hqdefault.jpg
22189,Sausage Cheese Grits Casserole,Southern Grits Casserole | Southern Sassy Mama,https://youtube.com/watch?v=Z2ScJ22Jje8,https://i.ytimg.com/vi/Z2ScJ22Jje8/hqdefault.jpg
2133469,Russian Beef Stroganoff Recipe,Best Beef Stroganoff Recipe | Classic Russian Dish,https://youtube.com/watch?v=AJCrRpzqJsA,https://i.ytimg.com/vi/AJCrRpzqJsA/hqdefault.jpg
1379739,Nigella Lawson'S No-Bake Nutella Cheesecake,Nigella Lawson&#39;s No-Bake Nutella Cheesecake | Genius Recipes,https://youtube.com/watch?v=vMV8q4BCWR8,https://i.ytimg.com/vi/vMV8q4BCWR8/hqdefault.jpg
116977,Fettuccine With Sun-Dried Tomato Cream,Creamy Chicken Sun Dried Tomato Pasta,https://youtube.com/watch?v=TuxuhidJWNc,https://i.ytimg.com/vi/TuxuhidJWNc/hqdefault.jpg
1863690,Zesty Potato Topping for Focaccia,Amazingly Easy Zesty Focaccia Bread  // Kevin Is Cooking,https://youtube.com/watch?v=3obxAHX3_yY,https://i.ytimg.com/vi/3obxAHX3_yY/hqdefault.jpg
2145162,Pork Stew in Red Chile Sauce,Chile Colorado de Puerco - Pork Stew in Red Chile Sauce #chilecolorado #guajillo #mexicanrecipes,https://youtube.com/watch?v=XHupOa_c_A4,https://i.ytimg.com/vi/XHupOa_c_A4/hqdefault.jpg
982811,Chicken Jambalaya Wrap,Grilled Sausage &amp; Chicken Jambalaya Foil Packets | with Reynolds Wrap,https://youtube.com/watch?v=188T06qN1C4,https://i.ytimg.com/vi/188T06qN1C4/hqdefault.jpg
2200051,Crunchy Potato Pancakes Recipe,How to Make Potato Pancakes - Classic Potato Pancakes Recipe,https://youtube.com/watch?v=nHZsE7T7hwI,https://i.ytimg.com/vi/nHZsE7T7hwI/hqdefault.jpg
2068232,Red Onion Relish,quick and easy red onion relish recipe ! Enjoy sweet and savoury,https://youtube.com/watch?v=NA54jlXWq0o,https://i.ytimg.com/vi/NA54jlXWq0o/hqdefault.jpg
173257,Mostaccioli,BEST BAKED MOSTACCIOLI RECIPE EVER! Cant believe I&#39;m sharing this! Baked Mostaccioli with Meat!,https://youtube.com/watch?v=pEZjAWunyNY,https://i.ytimg.com/vi/pEZjAWunyNY/hqdefault.jpg
1044068,Frozen Fruit Medley,How to make the perfect Berry Compote in under 15 minutes | 3 ingredient recipe | Easy dessert,https://youtube.com/watch?v=hJH0DtiSaAA,https://i.ytimg.com/vi/hJH0DtiSaAA/hqdefault.jpg
727997,Country Style Corn Bread,Homemade Southern Cornbread,https://youtube.com/watch?v=TOMKoLtLWZo,https://i.ytimg.com/vi/TOMKoLtLWZo/hqdefault.jpg
1123353,Puerto Rican Chicken Soup,The BEST Asopao de Pollo | Puerto Rican Chicken Soup,https://youtube.com/watch?v=7M8K9sYZOpA,https://i.ytimg.com/vi/7M8K9sYZOpA/hqdefault.jpg
688535,Buttermilk Biscuits,How To Make The World&#39;s Best Buttermilk Biscuits | Southern Living,https://youtube.com/watch?v=usif9Aou4qE,https://i.ytimg.com/vi/usif9Aou4qE/hqdefault.jpg
13528,Chicken Fajita Sandwiches,Chicken Fajita Sandwich By Recipes Of The World,https://youtube.com/watch?v=oPzpL1vMZHY,https://i.ytimg.com/vi/oPzpL1vMZHY/hqdefault.jpg
269029,Italian Dressing,Homemade Italian Dressing! (quick &amp; flavorful) | plant.well,https://youtube.com/watch?v=KVesuyGINRs,https://i.ytimg.com/vi/KVesuyGINRs/hqdefault.jpg
811364,Chocolate Pixies,Fudgy And Chewy CHOCOLATE CRINKLES,https://youtube.com/watch?v=fNen4IXo5kY,https://i.ytimg.com/vi/fNen4IXo5kY/hqdefault.jpg
1429178,Tapenade Twists,Olive Tapenade is a tasty sandwich spread,https://youtube.com/watch?v=qIldk6XkM2I,https://i.ytimg.com/vi/qIldk6XkM2I/hqdefault.jpg
70986,Peanut Butter Candy Roll,Peanut Butter Pinwheels (QUICK AND EASY RECIPE),https://youtube.com/watch?v=3UAiA3sNcts,https://i.ytimg.com/vi/3UAiA3sNcts/hqdefault.jpg
1961546,Warm Bow-Tie Pasta Salad,The best pasta salad for summer 2023💛 full recipe at spoonfulofsi.com 🫶 #recipe #pastasalad,https://youtube.com/watch?v=VTlbNW7Xzv0,https://i.ytimg.com/vi/VTlbNW7Xzv0/hqdefault.jpg
239344,Mini Meat Loaves And Vegetables(Ready To Bake In 10 Minutes)  ,10 Minutes Breakfast Egg Toast Recipe In Air Fryer,https://youtube.com/watch?v=auVwE3Q_ElI,https://i.ytimg.com/vi/auVwE3Q_ElI/hqdefault.jpg
1154219,Crock-Pot Chicken In Creamy Sun-Dried Tomato Sauce,slow cooker creamy sun dried tomato chicken,https://youtube.com/watch?v=nLE7VMt5618,https://i.ytimg.com/vi/nLE7VMt5618/hqdefault.jpg
1571061,Home Canned Cherries,Cherry pie using home canned cherries!,https://youtube.com/watch?v=JH94o3pXS78,https://i.ytimg.com/vi/JH94o3pXS78/hqdefault.jpg
2159898,Mojito Martini,Martini Recipes : Mojito Martini Drink Recipes,https://youtube.com/watch?v=J0FOfUFvoSA,https://i.ytimg.com/vi/J0FOfUFvoSA/hqdefault.jpg
1252706,Vegetarian Nachos,Loaded Veggie Nachos,https://youtube.com/watch?v=1miVhnotCK8,https://i.ytimg.com/vi/1miVhnotCK8/hqdefault.jpg
849349,Cranberry Apple Stuffing,Holiday Cooking &amp; Baking Recipes: Apple Cranberry Stuffing Recipe | Thanksgiving Dinner Ideas,https://youtube.com/watch?v=ty5-qG9MfK0,https://i.ytimg.com/vi/ty5-qG9MfK0/hqdefault.jpg
1843736,Vegetable Barley Soup,Homemade Vegetable Barley Soup,https://youtube.com/watch?v=ltzLgxXLli4,https://i.ytimg.com/vi/ltzLgxXLli4/hqdefault.jpg
